Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.09    412.88     0.39      150     0.00     0.00  .__module_physics_addtendc_NMOD_add_a2c_u
  0.09    413.27     0.39      150     0.00     0.00  .__module_physics_addtendc_NMOD_advance_ppt
  0.09    413.65     0.38      420     0.00     0.00  .just_patch_r
  0.09    414.02     0.37    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb9
  0.09    414.38     0.36    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb5
  0.09    414.74     0.36     1050     0.00     0.00  .__module_bc_NMOD_zero_grad_bdy
  0.08    415.09     0.35    11250     0.00     0.00  .__module_sf_sfclay_NMOD_sfclay1d
  0.08    415.43     0.34      150     0.00     0.01  .__module_bc_em_NMOD_relax_bdy_dry
  0.08    415.76     0.33    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb7
  0.08    416.08     0.32  1530000     0.00     0.00  .vspow
  0.07    416.39     0.31      277     0.00     0.00  .all_sub_r
  0.07    416.69     0.30    82470     0.00     0.00  .__module_cu_kfeta_NMOD_envirtht
  0.07    416.99     0.30      150     0.00     0.00  .__module_physics_addtendc_NMOD_add_a2c_v
  0.07    417.28     0.29      150     0.00     0.00  .__module_big_step_utilities_em_NMOD_moist_physics_finish_em
  0.05    417.51     0.23    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb2
  0.05    417.74     0.23    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb4
  0.05    417.94     0.20    47700     0.00     0.00  .__module_ra_rrtm_NMOD_setcoef
  0.04    418.12     0.18    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb12
  0.04    418.28     0.16    75696     0.00     0.00  .__module_cu_kfeta_NMOD_tpmix2
  0.04    418.44     0.16    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb11
  0.04    418.59     0.15      150     0.00     0.00  .__module_bc_em_NMOD_relax_bdy_scalar
  0.03    418.73     0.14    72848     0.00     0.00  .__module_cu_kfeta_NMOD_condload
  0.03    418.87     0.14    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb8
  0.03    419.01     0.14    11250     0.00     0.00  .__module_sf_slab_NMOD_slab1d
  0.03    419.15     0.14        6     0.02     1.57  .__module_ra_rrtm_NMOD_rrtmlwrad
  0.03    419.29     0.14        6     0.02     0.03  .__module_ra_sw_NMOD_swrad
  0.03    419.42     0.13    47700     0.00     0.00  .__module_ra_rrtm_NMOD_mm5atm
  0.03    419.54     0.12      150     0.00     2.69  .solve_em
  0.02    419.64     0.10    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb6
  0.02    419.73     0.09    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb13
  0.02    419.81     0.08    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb1
  0.02    419.88     0.07      450     0.00     0.00  .__module_big_step_utilities_em_NMOD_calc_mu_uv_1
  0.02    419.95     0.07      150     0.00     0.06  .__module_radiation_driver_NMOD_radiation_driver
  0.02    420.02     0.07      150     0.00     0.00  .__module_sf_sfcdiags_NMOD_sfcdiags
  0.02    420.09     0.07                             .f_unpack_int_ijk
  0.01    420.15     0.06    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb15
  0.01    420.21     0.06    47700     0.00     0.00  .__module_ra_sw_NMOD_swpara
  0.01    420.27     0.06     1050     0.00     0.00  .__module_comm_dm_NMOD_halo_em_c2_sub
  0.01    420.32     0.05    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb16
  0.01    420.37     0.05    46670     0.00     0.00  .__module_cu_kfeta_NMOD_dtfrznew
  0.01    420.42     0.05                             .rsl_lite_pack
  0.01    420.46     0.04      150     0.00     0.00  .__module_sf_slab_NMOD_slab
  0.01    420.50     0.04                             .f_pack_int_ijk
  0.01    420.53     0.03     2250     0.00     0.03  .__module_em_NMOD_rk_scalar_tend
  0.01    420.56     0.03     2177     0.00     0.00  .__module_configure_NMOD_in_use_for_config
  0.01    420.59     0.03      450     0.00     0.00  .__module_big_step_utilities_em_NMOD_calculate_full
  0.01    420.62     0.03                             .task_for_point
  0.00    420.64     0.02    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb10
  0.00    420.66     0.02    25840     0.00     0.00  .rsl_comm_iter
  0.00    420.68     0.02    11111     0.00     0.00  .lower_case
  0.00    420.70     0.02     6914     0.00     0.00  .__module_bc_NMOD_set_physical_bc2d
  0.00    420.72     0.02     2250     0.00     0.03  .*__module_em_NMOD_rk_scalar_tend_stub_in_solve_em
  0.00    420.74     0.02      450     0.00     0.17  .*__module_em_NMOD_rk_tendency_stub_in_solve_em
  0.00    420.76     0.02      450     0.00     0.03  .*__module_small_step_em_NMOD_small_step_prep_stub_in_solve_em
  0.00    420.78     0.02      450     0.00     0.00  .__module_big_step_utilities_em_NMOD_calc_mu_uv
  0.00    420.80     0.02      450     0.00     0.00  .__module_comm_dm_NMOD_halo_em_b_sub
  0.00    420.82     0.02      303     0.00     0.00  .set_scalar_indices_from_config
  0.00    420.84     0.02      150     0.00     0.00  .__module_sf_sfclay_NMOD_sfclay
  0.00    420.86     0.02        4     0.01     0.11  .wrf_histout
  0.00    420.88     0.02                             .__module_cu_kfeta_NMOD_tpmix2dd
  0.00    420.90     0.02                             .buffer_for_proc
  0.00    420.92     0.02                             .f_pack_int
  0.00    420.93     0.01    47700     0.00     0.00  .__module_ra_rrtm_NMOD_rrtm
  0.00    420.94     0.01    29168     0.00     0.00  .get_wrf_debug_level
  0.00    420.95     0.01     7950     0.00     0.00  .*__module_bc_NMOD_set_physical_bc3d_stub_in_solve_em
  0.00    420.96     0.01     1389     0.00     0.00  .__module_cu_kfeta_NMOD_prof5
  0.00    420.97     0.01     1050     0.00     0.00  .*__module_bc_em_NMOD_spec_bdyupdate_ph_stub_in_solve_em
  0.00    420.98     0.01     1050     0.00     0.02  .*__module_small_step_em_NMOD_advance_w_stub_in_solve_em
  0.00    420.99     0.01     1050     0.00     0.00  .__module_comm_dm_NMOD_period_bdy_em_b3_sub
  0.00    421.00     0.01      860     0.00     0.00  .call_pkg_and_dist_generic
  0.00    421.01     0.01      462     0.00     0.00  .__esmf_timemod_NMOD_esmf_timeget
  0.00    421.02     0.01      450     0.00     0.00  .*__module_bc_em_NMOD_spec_bdy_dry_stub_in_solve_em
  0.00    421.03     0.01      450     0.00     0.00  .__module_bc_em_NMOD_spec_bdy_dry
  0.00    421.04     0.01      300     0.00     0.00  .__module_comm_dm_NMOD_halo_em_d2_5_sub
  0.00    421.05     0.01      300     0.00     0.00  .__module_comm_dm_NMOD_halo_em_tke_5_sub
  0.00    421.06     0.01      150     0.00     0.04  .*__module_diffusion_em_NMOD_calculate_km_kh_stub_in___module_first_rk_step_part2_NMOD_first_rk_step_part2
  0.00    421.07     0.01      150     0.00     0.00  .*__module_fddagd_driver_NMOD_fddagd_driver_stub_in___module_first_rk_step_part1_NMOD_first_rk_step_part1
  0.00    421.08     0.01      150     0.00     0.01  .*__module_surface_driver_NMOD_surface_driver_stub_in___module_first_rk_step_part1_NMOD_first_rk_step_part1
  0.00    421.09     0.01      150     0.00     0.00  .__module_comm_dm_NMOD_halo_em_phys_pbl_sub
  0.00    421.10     0.01      150     0.00     0.02  .__module_cumulus_driver_NMOD_cumulus_driver
  0.00    421.11     0.01        2     0.01     0.07  .open_hist_w
  0.00    421.12     0.01        1     0.01     0.01  .nl_get_io_form_auxhist1
  0.00    421.13     0.01        1     0.01     1.53  .start_domain_em
  0.00    421.14     0.01                             .buffer_size_for_proc
  0.00    421.15     0.01                             .f_unpack_int
  0.00    421.15     0.00   137600     0.00     0.00  .__module_dm_NMOD_getrealmpitype
  0.00    421.15     0.00    68800     0.00     0.00  .wrf_scatterv_real
  0.00    421.15     0.00    65691     0.00     0.00  .seccmp
  0.00    421.15     0.00    47700     0.00     0.00  .__module_ra_rrtm_NMOD_inirad
  0.00    421.15     0.00    47700     0.00     0.00  .__module_ra_rrtm_NMOD_taugb14
  0.00    421.15     0.00    34505     0.00     0.00  .normalize_basetime
  0.00    421.15     0.00    29214     0.00     0.00  .wrf_debug
  0.00    421.15     0.00    27150     0.00     0.00  .__module_machine_NMOD_locproc
  0.00    421.15     0.00    27150     0.00     0.00  .__module_machine_NMOD_rlocproc
  0.00    421.15     0.00    25200     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_c2_sub
  0.00    421.15     0.00    23400     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_b_sub
  0.00    421.15     0.00    19800     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_a_sub
  0.00    421.15     0.00    15309     0.00     0.00  .timecmp
  0.00    421.15     0.00    12920     0.00     0.00  .rsl_comm_iter_init
  0.00    421.15     0.00    11046     0.00     0.00  .__esmf_basetimemod_NMOD_esmf_basetimege
  0.00    421.15     0.00    11046     0.00     0.00  .__esmf_basetimemod_NMOD_esmf_basetimelt
  0.00    421.15     0.00    10337     0.00     0.00  .nfeb
  0.00    421.15     0.00     9545     0.00     0.00  .__esmf_basetimemod_NMOD_esmf_basetimesum
  0.00    421.15     0.00     9000     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_d_sub
  0.00    421.15     0.00     8831     0.00     0.00  .__ext_ncd_support_routines_NMOD_lowercase
  0.00    421.15     0.00     8400     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_c_sub
  0.00    421.15     0.00     8400     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_d2_5_sub
  0.00    421.15     0.00     8400     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_d3_5_sub
  0.00    421.15     0.00     8400     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_e_5_sub
  0.00    421.15     0.00     8241     0.00     0.00  .__ext_ncd_support_routines_NMOD_netcdf_err
  0.00    421.15     0.00     7866     0.00     0.00  .ndaysinyear
  0.00    421.15     0.00     7866     0.00     0.00  .normalize_time
  0.00    421.15     0.00     7866     0.00     0.00  .nsecondsinyear
  0.00    421.15     0.00     7801     0.00     0.00  .wrf_get_dm_communicator
  0.00    421.15     0.00     7700     0.00     0.00  .__esmf_timemod_NMOD_esmf_timecopy
  0.00    421.15     0.00     7700     0.00     0.00  .__esmf_timemod_NMOD_esmf_timeinc
  0.00    421.15     0.00     7700     0.00     0.00  .c_esmc_basetimesum
  0.00    421.15     0.00     7500     0.00     0.00  .__esmf_timemod_NMOD_esmf_timele
  0.00    421.15     0.00     7500     0.00     0.00  .c_esmc_basetimele
  0.00    421.15     0.00     7200     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_phys_diffusion_sub
  0.00    421.15     0.00     6958     0.00     0.00  .multi_files
  0.00    421.15     0.00     6308     0.00     0.00  .wrf_dm_on_monitor
  0.00    421.15     0.00     5250     0.00     0.00  .*__module_bc_NMOD_spec_bdyupdate_stub_in_solve_em
  0.00    421.15     0.00     5072     0.00     0.00  .__module_wrf_error_NMOD_wrf_at_debug_level
  0.00    421.15     0.00     4800     0.00     0.00  .*__module_bc_NMOD_set_physical_bc2d_stub_in_solve_em
  0.00    421.15     0.00     4800     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_tke_c_sub
  0.00    421.15     0.00     4625     0.00     0.00  .__ext_ncd_support_routines_NMOD_getdim
  0.00    421.15     0.00     4366     0.00     0.00  .use_package
  0.00    421.15     0.00     4200     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_tke_d_sub
  0.00    421.15     0.00     3913     0.00     0.00  .__esmf_alarmmod_NMOD_esmf_alarmisringing
  0.00    421.15     0.00     3832     0.00     0.00  .__ext_ncd_support_routines_NMOD_getdh
  0.00    421.15     0.00     3750     0.00     0.00  .__esmf_timemod_NMOD_esmf_timelt
  0.00    421.15     0.00     3750     0.00     0.00  .c_esmc_basetimelt
  0.00    421.15     0.00     3719     0.00     0.00  .__module_io_NMOD_get_handle
  0.00    421.15     0.00     3689     0.00     0.00  .has_char
  0.00    421.15     0.00     3600     0.00     0.00  .__esmf_timemod_NMOD_esmf_timegt
  0.00    421.15     0.00     3600     0.00     0.00  .c_esmc_basetimegt
  0.00    421.15     0.00     3507     0.00     0.00  .wrf_dm_bcast_bytes
  0.00    421.15     0.00     3063     0.00     0.00  .__ext_ncd_support_routines_NMOD_getindices
  0.00    421.15     0.00     3000     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_fdda_sfc_sub
  0.00    421.15     0.00     3000     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_tke_e_sub
  0.00    421.15     0.00     2976     0.00     0.00  .wrf_get_nproc
  0.00    421.15     0.00     2734     0.00     0.00  .timeintchecknormalized
  0.00    421.15     0.00     2701     0.00     0.00  .nl_get_time_step
  0.00    421.15     0.00     2529     0.00     0.00  .__ext_ncd_support_routines_NMOD_datecheck
  0.00    421.15     0.00     2400     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_tke_5_sub
  0.00    421.15     0.00     2276     0.00     0.00  .normalize_timeint
  0.00    421.15     0.00     2250     0.00     0.01  .*__module_em_NMOD_rk_update_scalar_stub_in_solve_em
  0.00    421.15     0.00     2233     0.00     0.00  .use_output_servers
  0.00    421.15     0.00     1856     0.00     0.00  .__esmf_clockmod_NMOD_esmf_clockget
  0.00    421.15     0.00     1800     0.00     0.00  .*__module_bc_NMOD_flow_dep_bdy_stub_in_solve_em
  0.00    421.15     0.00     1500     0.00     0.01  .*__module_small_step_em_NMOD_calc_p_rho_stub_in_solve_em
  0.00    421.15     0.00     1500     0.00     0.00  .__module_comm_dm_NMOD_period_bdy_em_b_sub
  0.00    421.15     0.00     1488     0.00     0.00  .__ext_ncd_support_routines_NMOD_extorder
  0.00    421.15     0.00     1488     0.00     0.00  .__module_io_NMOD_reset_first_operation
  0.00    421.15     0.00     1488     0.00     0.00  .debug_io_wrf
  0.00    421.15     0.00     1488     0.00     0.00  .dim_from_memorder
  0.00    421.15     0.00     1488     0.00     0.00  .wrf_dm_monitor_rank
  0.00    421.15     0.00     1335     0.00     0.00  .__ext_ncd_support_routines_NMOD_reorder
  0.00    421.15     0.00     1200     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_phys_a_sub
  0.00    421.15     0.00     1200     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_phys_pbl_sub
  0.00    421.15     0.00     1200     0.00     0.00  .*rsl_lite_pack_stub_in___module_comm_dm_NMOD_halo_em_tke_7_sub
  0.00    421.15     0.00     1148     0.00     0.00  .__module_io_NMOD_wrf_put_var_ti_char_arr
  0.00    421.15     0.00     1117     0.00     0.00  .col_on_comm
  0.00    421.15     0.00     1117     0.00     0.00  .collect_on_comm0
  0.00    421.15     0.00     1070     0.00     0.00  .__esmf_clockmod_NMOD_esmf_clockgetcurrtime
  0.00    421.15     0.00     1070     0.00     0.00  .__module_domain_NMOD_domain_get_current_time
  0.00    421.15     0.00     1050     0.00     0.00  .*__module_bc_NMOD_zero_grad_bdy_stub_in_solve_em
  0.00    421.15     0.00     1050     0.00     0.02  .*__module_small_step_em_NMOD_advance_mu_t_stub_in_solve_em
  0.00    421.15     0.00     1050     0.00     0.02  .*__module_small_step_em_NMOD_advance_uv_stub_in_solve_em
  0.00    421.15     0.00     1050     0.00     0.01  .*__module_small_step_em_NMOD_sumflux_stub_in_solve_em
  0.00    421.15     0.00     1050     0.00     0.00  .__module_comm_dm_NMOD_halo_em_c_sub
  0.00    421.15     0.00     1031     0.00     0.00  .__ext_ncd_support_routines_NMOD_gettimeindex
  0.00    421.15     0.00     1021     0.00     0.00  .__ext_ncd_support_routines_NMOD_fieldio
  0.00    421.15     0.00     1021     0.00     0.00  .__ext_ncd_support_routines_NMOD_transpose
  0.00    421.15     0.00      994     0.00     0.00  .ext_ncd_realfieldio
  0.00    421.15     0.00      914     0.00     0.00  .__esmf_timeintervalmod_NMOD_esmf_timeintervalset
  0.00    421.15     0.00      894     0.00     0.00  .compute_lcd
  0.00    421.15     0.00      860     0.00     0.00  .call_pkg_and_dist
  0.00    421.15     0.00      860     0.00     0.00  .nl_get_perturb_input
  0.00    421.15     0.00      860     0.00     0.00  .use_input_servers
  0.00    421.15     0.00      860     0.00     0.00  .wrf_ext_read_field
  0.00    421.15     0.00      860     0.00     0.00  .wrf_read_field
  0.00    421.15     0.00      860     0.00     0.00  .wrf_read_field1
  0.00    421.15     0.00      840     0.00     0.00  .call_pkg_and_dist_real
  0.00    421.15     0.00      792     0.00     0.00  .__module_domain_NMOD_domain_clock_get
  0.00    421.15     0.00      750     0.00     0.00  .*__module_bc_NMOD_set_physical_bc3d_stub_in___module_first_rk_step_part2_NMOD_first_rk_step_part2
  0.00    421.15     0.00      750     0.00     0.01  .*__module_em_NMOD_rk_update_scalar_pd_stub_in_solve_em
  0.00    421.15     0.00      628     0.00     0.00  .__ext_ncd_support_routines_NMOD_extorderstr
  0.00    421.15     0.00      628     0.00     0.00  .collect_fld_and_call_pkg
  0.00    421.15     0.00      628     0.00     0.00  .collect_generic_and_call_pkg
  0.00    421.15     0.00      628     0.00     0.00  .wrf_ext_write_field
  0.00    421.15     0.00      628     0.00     0.00  .wrf_write_field
  0.00    421.15     0.00      628     0.00     0.00  .wrf_write_field1
  0.00    421.15     0.00      606     0.00     0.00  .c_esmc_basetimeintgt
  0.00    421.15     0.00      604     0.00     0.00  .collect_real_and_call_pkg
  0.00    421.15     0.00      600     0.00     0.01  .*__module_big_step_utilities_em_NMOD_calc_p_rho_phi_stub_in_solve_em
  0.00    421.15     0.00      532     0.00     0.00  .*wrf_ext_write_field_stub_in_wrf_histout
  0.00    421.15     0.00      480     0.00     0.00  .__module_io_NMOD_are_bdys_distributed
  0.00    421.15     0.00      471     0.00     0.00  .__module_domain_NMOD_get_ijk_from_grid2
  0.00    421.15     0.00      461     0.00     0.00  .__esmf_basetimemod_NMOD_esmf_basetimedifference
  0.00    421.15     0.00      451     0.00     0.00  .__module_domain_NMOD_set_current_grid_ptr
  0.00    421.15     0.00      450     0.00     0.00  .*__module_bc_em_NMOD_rk_phys_bc_dry_1_stub_in_solve_em
  0.00    421.15     0.00      450     0.00     0.00  .*__module_big_step_utilities_em_NMOD_calc_mu_uv_1_stub_in_solve_em
  0.00    421.15     0.00      450     0.00     0.02  .*__module_em_NMOD_rk_addtend_dry_stub_in_solve_em
  0.00    421.15     0.00      450     0.00     0.04  .*__module_em_NMOD_rk_step_prep_stub_in_solve_em
  0.00    421.15     0.00      450     0.00     0.01  .*__module_small_step_em_NMOD_calc_coef_w_stub_in_solve_em
  0.00    421.15     0.00      450     0.00     0.01  .*__module_small_step_em_NMOD_small_step_finish_stub_in_solve_em
  0.00    421.15     0.00      450     0.00     0.00  .__module_bc_em_NMOD_rk_phys_bc_dry_1
  0.00    421.15     0.00      450     0.00     0.00  .__module_comm_dm_NMOD_halo_em_a_sub
  0.00    421.15     0.00      450     0.00     0.00  .__module_comm_dm_NMOD_halo_em_d_sub
  0.00    421.15     0.00      450     0.00     0.00  .__module_comm_dm_NMOD_period_bdy_em_a_sub
  0.00    421.15     0.00      450     0.00     0.00  .__module_comm_dm_NMOD_period_em_da_sub
  0.00    421.15     0.00      450     0.00     0.04  .__module_em_NMOD_rk_step_prep
  0.00    421.15     0.00      450     0.00     0.17  .__module_em_NMOD_rk_tendency
  0.00    421.15     0.00      450     0.00     0.00  .__module_microphysics_zero_out_NMOD_microphysics_zero_outa
  0.00    421.15     0.00      450     0.00     0.00  .__module_microphysics_zero_out_NMOD_microphysics_zero_outb
  0.00    421.15     0.00      420     0.00     0.00  .ext_ncd_inquire_filename
  0.00    421.15     0.00      420     0.00     0.00  .wrf_patch_to_global_generic
  0.00    421.15     0.00      404     0.00     0.00  .wrf_patch_to_global_real
  0.00    421.15     0.00      400     0.00     0.00  .__ext_ncd_support_routines_NMOD_deallochandle
  0.00    421.15     0.00      348     0.00     0.00  .timeintcmp
  0.00    421.15     0.00      334     0.00     0.00  .*wrf_ext_read_field_stub_in_wrf_restartin
  0.00    421.15     0.00      334     0.00     0.00  .__esmf_clockmod_NMOD_esmf_clockgetstarttime
  0.00    421.15     0.00      334     0.00     0.00  .__module_domain_NMOD_domain_get_start_time
  0.00    421.15     0.00      320     0.00     0.00  .__ext_ncd_support_routines_NMOD_ncd_is_first_operation
  0.00    421.15     0.00      320     0.00     0.00  .__ext_ncd_support_routines_NMOD_ncd_ok_to_put_dom_ti
  0.00    421.15     0.00      318     0.00     0.00  .timegetmonth
  0.00    421.15     0.00      314     0.00     0.00  .__ext_ncd_support_routines_NMOD_uppercase
  0.00    421.15     0.00      307     0.00     0.00  .__esmf_timemod_NMOD_esmf_timege
  0.00    421.15     0.00      307     0.00     0.00  .__module_domain_NMOD_domain_clockprint
  0.00    421.15     0.00      307     0.00     0.00  .c_esmc_basetimege
  0.00    421.15     0.00      307     0.00     0.00  .wrf_clockprint
  0.00    421.15     0.00      303     0.00     0.00  .__esmf_timeintervalmod_NMOD_esmf_timeintervalgt
  0.00    421.15     0.00      302     0.00     0.00  .__esmf_timeintervalmod_NMOD_esmf_timeintervalget
  0.00    421.15     0.00      302     0.00     0.00  .__esmf_timeintervalmod_NMOD_esmf_timeintervalispositive
  0.00    421.15     0.00      302     0.00     0.00  .__esmf_timemod_NMOD_esmf_timediff
  0.00    421.15     0.00      302     0.00     0.00  .__module_comm_dm_NMOD_period_bdy_em_chem_sub
  0.00    421.15     0.00      302     0.00     0.00  .c_esmc_basetimediff
